,Rate - Valid from,Rate - Valid to,Origin Port (name),Origin Port (code),Destination Port (name),Destination Port (code),Customer,Carrier,Contract Number,Commodity,THC USED,"BAS, Currency","BAS, 20DC","BAS, 40DC","BAS, 40HC","CFD, Currency","CFD, 20DC","CFD, 40DC","CFD, 40HC","CFO, Currency","CFO, 20DC","CFO, 40DC","CFO, 40HC","DHC, Currency","DHC, 20DC","DHC, 40DC","DHC, 40HC","ERS, Currency","ERS, 20DC","ERS, 40DC","ERS, 40HC","EXP, Currency","EXP, 20DC","EXP, 40DC","EXP, 40HC","IMP, Currency","IMP, 20DC","IMP, 40DC","IMP, 40HC","LSS, Currency","LSS, 20DC","LSS, 40DC","LSS, 40HC","OHC, Currency","OHC, 20DC","OHC, 40DC","OHC, 40HC","PSS, Currency","PSS, 20DC","PSS, 40DC","PSS, 40HC","RHI, Currency","RHI, 20DC","RHI, 40DC","RHI, 40HC","EBS, Currency","EBS, 20DC","EBS, 40DC","EBS, 40HC","PAE, Currency","PAE, 20DC","PAE, 40DC","PAE, 40HC","SBF, Currency","SBF, 20DC","SBF, 40DC","SBF, 40HC"
16,"Bangkok, Thailand","Krishnapatnam, India","Bangkok, Thailand",THBKK,"Krishnapatnam, India",INKRI,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,375,650,650,USD,,,,USD,,,,INR,4910,7010,7010,USD,,,,THB,200,200,200,INR,1600,2600,2600,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
17,"Bangkok, Thailand","Male, Maldives","Bangkok, Thailand",THBKK,"Male, Maldives",MVMLE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1425,2500,2500,USD,,,,USD,,,,,,,,USD,,,,THB,200,200,200,USD,100,200,200,,,,,THB,2800,4300,4300,USD,,,,USD,125,250,250,USD,,,,,,,,,,,
18,"Bangkok, Thailand","Mangalore, India","Bangkok, Thailand",THBKK,"Mangalore, India",INIXE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,700,1025,1025,USD,,,,USD,,,,INR,4845,6950,6950,USD,,,,THB,200,200,200,INR,1600,2600,2600,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
19,"Bangkok, Thailand","Marmagao, India","Bangkok, Thailand",THBKK,"Marmagao, India",INMRM,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,908,1340,1340,USD,,,,USD,,,,INR,6335,10170,10170,USD,,,,THB,200,200,200,INR,1600,2600,2600,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
20,"Bangkok, Thailand","Tuticorin, India","Bangkok, Thailand",THBKK,"Tuticorin, India",INTUT,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,575,800,800,USD,,,,USD,,,,INR,5275,7200,7200,USD,,,,THB,200,200,200,INR,1600,2600,2600,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
21,"Bangkok, Thailand","Visakhapatnam, India","Bangkok, Thailand",THBKK,"Visakhapatnam, India",INVTZ,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,325,550,550,USD,,,,USD,,,,INR,6700,9950,9950,USD,,,,THB,200,200,200,INR,1600,2600,2600,,,,,THB,2800,4300,4300,USD,,,,,,,,USD,,,,,,,,,,,
22,"Batangas, Philippines","Cochin, India","Batangas, Philippines",PHBTG,"Cochin, India",INCOK,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,600,800,800,USD,,,,USD,,,,INR,10175,13500,13500,USD,,,,USD,4,4,4,INR,1600,2600,2600,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
23,"Batangas, Philippines","Colombo, Sri Lanka","Batangas, Philippines",PHBTG,"Colombo, Sri Lanka",LKCMB,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,DTHC,USD,600,800,800,USD,,,,USD,,,,USD,,,,USD,,,,USD,4,4,4,USD,,,,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
24,"Batangas, Philippines","Ennore Chennai, India","Batangas, Philippines",PHBTG,"Ennore Chennai, India",INMAA,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,460,720,720,USD,,,,USD,,,,INR,5775,8150,8150,USD,,,,USD,4,4,4,INR,1600,2600,2600,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
25,"Batangas, Philippines","Haldia Port, India","Batangas, Philippines",PHBTG,"Haldia Port, India",INHAL,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1185,1745,1745,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,USD,4,4,4,INR,1600,2600,2600,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
26,"Batangas, Philippines","Kolkata, India","Batangas, Philippines",PHBTG,"Kolkata, India",INCCU,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1185,1745,1745,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,USD,4,4,4,INR,1600,2600,2600,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
27,"Batangas, Philippines","Krishnapatnam, India","Batangas, Philippines",PHBTG,"Krishnapatnam, India",INKRI,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,510,820,820,USD,,,,USD,,,,INR,4910,7010,7010,USD,,,,USD,4,4,4,INR,1600,2600,2600,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
28,"Batangas, Philippines","Male, Maldives","Batangas, Philippines",PHBTG,"Male, Maldives",MVMLE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1450,2500,2500,USD,,,,USD,,,,,,,,USD,,,,USD,4,4,4,USD,100,200,200,,,,,USD,175,225,225,USD,,,,USD,125,250,250,USD,,,,,,,,,,,
29,"Batangas, Philippines","Male, Maldives","Batangas, Philippines",PHBTG,"Male, Maldives",MVMLE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1450,2500,2500,USD,,,,USD,,,,,,,,USD,,,,USD,4,4,4,USD,100,200,200,,,,,USD,175,225,225,USD,,,,USD,125,250,250,USD,,,,,,,,,,,
30,"Batangas, Philippines","Mangalore, India","Batangas, Philippines",PHBTG,"Mangalore, India",INIXE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,725,1025,1025,USD,,,,USD,,,,INR,4845,6950,6950,USD,,,,USD,4,4,4,INR,1600,2600,2600,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
31,"Batangas, Philippines","Marmagao, India","Batangas, Philippines",PHBTG,"Marmagao, India",INMRM,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,933,1340,1340,USD,,,,USD,,,,INR,6335,10170,10170,USD,,,,USD,4,4,4,INR,1600,2600,2600,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
32,"Batangas, Philippines","Tuticorin, India","Batangas, Philippines",PHBTG,"Tuticorin, India",INTUT,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,600,800,800,USD,,,,USD,,,,INR,5275,7200,7200,USD,,,,USD,4,4,4,INR,1600,2600,2600,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
33,"Batangas, Philippines","Visakhapatnam, India","Batangas, Philippines",PHBTG,"Visakhapatnam, India",INVTZ,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,460,820,820,USD,,,,USD,,,,INR,6700,9950,9950,USD,,,,USD,4,4,4,INR,1600,2600,2600,,,,,USD,175,225,225,USD,,,,,,,,USD,,,,,,,,,,,
34,"Beihai, China","Cochin, India","Beihai, China",CNBIH,"Cochin, India",INCOK,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,880,1090,1090,USD,,,,USD,,,,INR,10175,13500,13500,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
35,"Beihai, China","Colombo, Sri Lanka","Beihai, China",CNBIH,"Colombo, Sri Lanka",LKCMB,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,DTHC,USD,880,1090,1090,USD,,,,USD,,,,USD,,,,USD,,,,CNY,50,50,50,USD,,,,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
36,"Beihai, China","Ennore Chennai, India","Beihai, China",CNBIH,"Ennore Chennai, India",INMAA,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,855,965,965,USD,,,,USD,,,,INR,5775,8150,8150,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
37,"Beihai, China","Haldia Port, India","Beihai, China",CNBIH,"Haldia Port, India",INHAL,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1480,1840,1840,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
38,"Beihai, China","Kolkata, India","Beihai, China",CNBIH,"Kolkata, India",INCCU,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1480,1840,1840,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
39,"Beihai, China","Krishnapatnam, India","Beihai, China",CNBIH,"Krishnapatnam, India",INKRI,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,905,1065,1065,USD,,,,USD,,,,INR,4910,7010,7010,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
40,"Beihai, China","Male, Maldives","Beihai, China",CNBIH,"Male, Maldives",MVMLE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1620,2720,2720,USD,,,,USD,,,,,,,,USD,,,,CNY,50,50,50,USD,100,200,200,USD,12,24,24,CNY,565,890,890,USD,,,,USD,125,250,250,,,,,,,,,,,,
41,"Beihai, China","Mangalore, India","Beihai, China",CNBIH,"Mangalore, India",INIXE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1005,1315,1315,USD,,,,USD,,,,INR,4845,6950,6950,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
42,"Beihai, China","Marmagao, India","Beihai, China",CNBIH,"Marmagao, India",INMRM,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1213,1630,1630,USD,,,,USD,,,,INR,6335,10170,10170,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
43,"Beihai, China","Tuticorin, India","Beihai, China",CNBIH,"Tuticorin, India",INTUT,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1180,1340,1340,USD,,,,USD,,,,INR,5275,7200,7200,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
44,"Beihai, China","Visakhapatnam, India","Beihai, China",CNBIH,"Visakhapatnam, India",INVTZ,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,855,965,965,USD,,,,USD,,,,INR,6700,9950,9950,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
45,"Beijiao, China","Cochin, India","Beijiao, China",CNBIJ,"Cochin, India",INCOK,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,570,660,660,USD,,,,USD,,,,INR,10175,13500,13500,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
46,"Beijiao, China","Colombo, Sri Lanka","Beijiao, China",CNBIJ,"Colombo, Sri Lanka",LKCMB,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,DTHC,USD,570,660,660,USD,,,,USD,,,,USD,,,,USD,,,,CNY,50,50,50,USD,,,,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
47,"Beijiao, China","Ennore Chennai, India","Beijiao, China",CNBIJ,"Ennore Chennai, India",INMAA,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,545,535,535,USD,,,,USD,,,,INR,5775,8150,8150,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
48,"Beijiao, China","Haldia Port, India","Beijiao, China",CNBIJ,"Haldia Port, India",INHAL,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1170,1410,1410,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
49,"Beijiao, China","Kolkata, India","Beijiao, China",CNBIJ,"Kolkata, India",INCCU,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1170,1410,1410,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
50,"Beijiao, China","Krishnapatnam, India","Beijiao, China",CNBIJ,"Krishnapatnam, India",INKRI,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,595,635,635,USD,,,,USD,,,,INR,4910,7010,7010,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
51,"Beijiao, China","Male, Maldives","Beijiao, China",CNBIJ,"Male, Maldives",MVMLE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1310,2290,2290,USD,,,,USD,,,,,,,,USD,,,,CNY,50,50,50,USD,100,200,200,USD,12,24,24,CNY,565,890,890,USD,,,,USD,125,250,250,,,,,,,,,,,,
52,"Beijiao, China","Mangalore, India","Beijiao, China",CNBIJ,"Mangalore, India",INIXE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,695,885,885,USD,,,,USD,,,,INR,4845,6950,6950,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
53,"Beijiao, China","Marmagao, India","Beijiao, China",CNBIJ,"Marmagao, India",INMRM,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,903,1200,1200,USD,,,,USD,,,,INR,6335,10170,10170,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
54,"Beijiao, China","Tuticorin, India","Beijiao, China",CNBIJ,"Tuticorin, India",INTUT,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,870,910,910,USD,,,,USD,,,,INR,5275,7200,7200,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
55,"Beijiao, China","Visakhapatnam, India","Beijiao, China",CNBIJ,"Visakhapatnam, India",INVTZ,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,545,535,535,USD,,,,USD,,,,INR,6700,9950,9950,USD,,,,CNY,50,50,50,INR,1600,2600,2600,USD,12,24,24,CNY,565,890,890,USD,,,,,,,,,,,,,,,,,,,
56,"Belawan, Indonesia","Cochin, India","Belawan, Indonesia",IDBLW,"Cochin, India",INCOK,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,650,800,800,USD,,,,USD,,,,INR,10175,13500,13500,USD,,,,IDR,50000,50000,50000,INR,1600,2600,2600,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
57,"Belawan, Indonesia","Colombo, Sri Lanka","Belawan, Indonesia",IDBLW,"Colombo, Sri Lanka",LKCMB,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,DTHC,USD,650,800,800,USD,,,,USD,,,,USD,,,,USD,,,,IDR,50000,50000,50000,USD,,,,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
58,"Belawan, Indonesia","Ennore Chennai, India","Belawan, Indonesia",IDBLW,"Ennore Chennai, India",INMAA,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,610,800,800,USD,,,,USD,,,,INR,5775,8150,8150,USD,,,,IDR,50000,50000,50000,INR,1600,2600,2600,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
59,"Belawan, Indonesia","Haldia Port, India","Belawan, Indonesia",IDBLW,"Haldia Port, India",INHAL,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1235,1720,1720,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,IDR,50000,50000,50000,INR,1600,2600,2600,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
60,"Belawan, Indonesia","Kolkata, India","Belawan, Indonesia",IDBLW,"Kolkata, India",INCCU,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1235,1720,1720,USD,,,,USD,,,,INR,10000,14500,14500,USD,,,,IDR,50000,50000,50000,INR,1600,2600,2600,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
61,"Belawan, Indonesia","Krishnapatnam, India","Belawan, Indonesia",IDBLW,"Krishnapatnam, India",INKRI,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,660,900,900,USD,,,,USD,,,,INR,4910,7010,7010,USD,,,,IDR,50000,50000,50000,INR,1600,2600,2600,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
62,"Belawan, Indonesia","Male, Maldives","Belawan, Indonesia",IDBLW,"Male, Maldives",MVMLE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,1500,2500,2500,USD,,,,USD,,,,,,,,USD,,,,IDR,50000,50000,50000,USD,100,200,200,,,,,USD,95,145,145,USD,,,,USD,125,250,250,USD,,,,,,,,,,,
63,"Belawan, Indonesia","Mangalore, India","Belawan, Indonesia",IDBLW,"Mangalore, India",INIXE,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,775,1025,1025,USD,,,,USD,,,,INR,4845,6950,6950,USD,,,,IDR,50000,50000,50000,INR,1600,2600,2600,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
64,"Belawan, Indonesia","Marmagao, India","Belawan, Indonesia",IDBLW,"Marmagao, India",INMRM,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,983,1340,1340,USD,,,,USD,,,,INR,6335,10170,10170,USD,,,,IDR,50000,50000,50000,INR,1600,2600,2600,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
65,"Belawan, Indonesia","Tuticorin, India","Belawan, Indonesia",IDBLW,"Tuticorin, India",INTUT,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,650,800,800,USD,,,,USD,,,,INR,5275,7200,7200,USD,,,,IDR,50000,50000,50000,INR,1600,2600,2600,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
66,"Belawan, Indonesia","Visakhapatnam, India","Belawan, Indonesia",IDBLW,"Visakhapatnam, India",INVTZ,AWESOME CUSTOMER INC.,XENETA,Super Secret Contract,FAK,NONE,USD,610,800,800,USD,,,,USD,,,,INR,6700,9950,9950,USD,,,,IDR,50000,50000,50000,INR,1600,2600,2600,,,,,USD,95,145,145,USD,,,,,,,,USD,,,,,,,,,,,
